winner,best_of,w_one,w_two,w_three,w_four,w_five,winner_id
Berdych T.,3,6.0,6.0,,,,49
Istomin D.,3,7.0,6.0,,,,266
Berankis R.,3,7.0,6.0,,,,48
Russell M.,3,6.0,7.0,,,,515
Querrey S.,3,6.0,6.0,,,,479
Roddick A.,3,6.0,6.0,,,,503
Verdasco F.,3,7.0,6.0,,,,619
Istomin D.,3,6.0,1.0,6.0,,,266
Verdasco F.,3,6.0,7.0,,,,619
Roddick A.,3,7.0,7.0,,,,503
Querrey S.,3,6.0,6.0,,,,479
Verdasco F.,3,6.0,2.0,6.0,,,619
Roddick A.,3,2.0,7.0,7.0,,,503
Verdasco F.,3,3.0,6.0,6.0,,,619
Hanescu V.,3,6.0,7.0,,,,242
Gimeno-Traver D.,3,6.0,7.0,6.0,,,208
Gil F.,3,6.0,6.0,,,,207
Daniel M.,3,6.0,6.0,,,,114
Ferrero J.C.,3,6.0,6.0,,,,183
Andujar P.,3,6.0,6.0,,,,16
Andreev I.,3,7.0,7.0,,,,14
Ventura S.,3,6.0,6.0,,,,617
Chela J.I.,3,7.0,7.0,,,,94
Granollers M.,3,6.0,6.0,,,,224
Moya C.,3,6.0,7.0,,,,419
Nalbandian D.,3,6.0,7.0,,,,430
Zeballos H.,3,6.0,3.0,6.0,,,651
Montanes A.,3,6.0,6.0,,,,412
Ferrer D.,3,6.0,7.0,,,,182
Monaco J.,3,6.0,7.0,,,,410
Ventura S.,3,6.0,7.0,,,,617
Montanes A.,3,6.0,6.0,,,,412
Nalbandian D.,3,6.0,6.0,7.0,,,430
Ferrero J.C.,3,6.0,6.0,,,,183
Andreev I.,3,3.0,6.0,6.0,,,14
Ferrer D.,3,6.0,6.0,,,,182
Zeballos H.,3,6.0,6.0,,,,651
Monaco J.,3,7.0,4.0,6.0,,,410
Montanes A.,3,,,,,,412
Ferrero J.C.,3,6.0,3.0,6.0,,,183
Monaco J.,3,7.0,6.0,,,,410
Ferrer D.,3,7.0,6.0,,,,182
Ferrer D.,3,6.0,6.0,,,,182
Ferrero J.C.,3,6.0,7.0,,,,183
Ferrero J.C.,3,5.0,6.0,6.0,,,183
Serra F.,3,6.0,6.0,,,,541
Baghdatis M.,3,6.0,6.0,,,,25
Zverev M.,3,7.0,6.0,,,,661
Stakhovsky S.,3,6.0,3.0,6.0,,,568
Marchenko I.,3,4.0,6.0,6.0,,,374
Llodra M.,3,6.0,6.0,6.0,,,356
Benneteau J.,3,7.0,7.0,,,,47
Ouanna J.,3,6.0,1.0,6.0,,,454
Rochus O.,3,7.0,6.0,,,,502
Seppi A.,3,7.0,7.0,,,,538
Mertens Y.,3,7.0,6.0,,,,398
Rufin G.,3,7.0,4.0,7.0,,,513
Zverev M.,3,6.0,3.0,6.0,,,661
Benneteau J.,3,6.0,6.0,,,,47
Llodra M.,3,7.0,6.0,,,,356
Tsonga J.W.,3,7.0,6.0,,,,598
Rufin G.,3,6.0,2.0,6.0,,,513
Soderling R.,3,6.0,6.0,6.0,,,558
Monfils G.,3,7.0,3.0,7.0,,,411
Marchenko I.,3,6.0,3.0,6.0,,,374
Llodra M.,3,7.0,6.0,,,,356
Tsonga J.W.,3,6.0,6.0,,,,598
Benneteau J.,3,6.0,7.0,,,,47
Zverev M.,3,7.0,6.0,6.0,,,661
Benneteau J.,3,7.0,5.0,7.0,,,47
Llodra M.,3,6.0,7.0,,,,356
Llodra M.,3,6.0,6.0,,,,356
Petzschner P.,3,1.0,6.0,6.0,,,466
Stepanek R.,3,7.0,4.0,6.0,,,573
Isner J.,3,6.0,7.0,,,,265
Lacko L.,3,2.0,7.0,6.0,,,338
Nieminen J.,3,6.0,7.0,,,,436
Korolev E.,3,7.0,7.0,,,,312
Gulbis E.,3,6.0,6.0,,,,234
Karlovic I.,3,7.0,7.0,,,,287
Berdych T.,3,6.0,6.0,,,,49
Chardy J.,3,7.0,6.0,,,,93
Lu Y.H.,3,4.0,6.0,6.0,,,363
Russell M.,3,0.0,7.0,6.0,,,515
Malisse X.,3,6.0,3.0,6.0,,,371
Querrey S.,3,6.0,6.0,,,,479
Mayer L.,3,6.0,6.0,,,,387
Roddick A.,3,6.0,4.0,7.0,,,503
Isner J.,3,6.0,6.0,6.0,,,265
Gulbis E.,3,7.0,7.0,,,,234
Petzschner P.,3,7.0,7.0,,,,466
Berdych T.,3,3.0,6.0,6.0,,,49
Lacko L.,3,7.0,2.0,,,,338
Karlovic I.,3,6.0,6.0,,,,287
Querrey S.,3,6.0,6.0,,,,479
Roddick A.,3,7.0,6.0,,,,503
Petzschner P.,3,6.0,1.0,6.0,,,466
Isner J.,3,6.0,7.0,,,,265
Gulbis E.,3,3.0,6.0,7.0,,,234
Querrey S.,3,7.0,3.0,6.0,,,479
Isner J.,3,7.0,4.0,6.0,,,265
Querrey S.,3,6.0,6.0,,,,479
Querrey S.,3,6.0,7.0,6.0,,,479
Bellucci T.,3,6.0,6.0,,,,44
Schwank E.,3,7.0,7.0,,,,535
Gasquet R.,3,4.0,6.0,6.0,,,200
Almagro N.,3,6.0,7.0,,,,6
Montanes A.,3,7.0,4.0,6.0,,,412
Chela J.I.,3,6.0,1.0,6.0,,,94
Hanescu V.,3,7.0,6.0,,,,242
Cuevas P.,3,1.0,7.0,7.0,,,111
Andreev I.,3,6.0,6.0,,,,14
Monaco J.,3,6.0,7.0,6.0,,,410
Verdasco F.,3,2.0,6.0,6.0,,,619
Ferrer D.,3,6.0,6.0,,,,182
Kubot L.,3,6.0,6.0,,,,324
Ferrero J.C.,3,6.0,6.0,,,,183
Gonzalez F.,3,6.0,3.0,7.0,,,220
Greul S.,3,7.0,7.0,,,,228
Almagro N.,3,3.0,7.0,7.0,,,6
Cuevas P.,3,7.0,6.0,,,,111
Monaco J.,3,6.0,7.0,,,,410
Verdasco F.,3,6.0,6.0,,,,619
Schwank E.,3,7.0,6.0,,,,535
Ferrer D.,3,6.0,6.0,,,,182
Gonzalez F.,3,7.0,3.0,6.0,,,220
Ferrero J.C.,3,6.0,6.0,,,,183
Ferrer D.,3,7.0,6.0,,,,182
Monaco J.,3,7.0,6.0,,,,410
Gonzalez F.,3,3.0,6.0,7.0,,,220
Ferrero J.C.,3,6.0,5.0,6.0,,,183
Ferrero J.C.,3,7.0,,,,,183
Ferrer D.,3,6.0,6.0,6.0,,,182
Ferrer D.,3,6.0,3.0,6.0,,,182
Odesnik W.,3,6.0,6.0,,,,444
Korolev E.,3,6.0,1.0,6.0,,,312
Gabashvili T.,3,7.0,7.0,,,,192
Mayer F.,3,6.0,6.0,,,,386
Nieminen J.,3,6.0,6.0,,,,436
Chardy J.,3,6.0,7.0,,,,93
Mayer L.,3,7.0,7.0,,,,387
Zverev M.,3,6.0,3.0,7.0,,,661
Gulbis E.,3,6.0,7.0,,,,234
Becker B.,3,6.0,1.0,6.0,,,42
Karlovic I.,3,6.0,7.0,,,,287
Haase R.,3,7.0,7.0,,,,238
Brands D.,3,3.0,6.0,6.0,,,69
Fish M.,3,5.0,6.0,3.0,,,186
Giraldo S.,3,6.0,6.0,,,,210
Blake J.,3,6.0,3.0,6.0,,,56
Mayer L.,3,6.0,7.0,,,,387
Nieminen J.,3,5.0,6.0,6.0,,,436
Gulbis E.,3,6.0,6.0,,,,234
Becker B.,3,,,,,,42
Chardy J.,3,7.0,4.0,7.0,,,93
Fish M.,3,6.0,6.0,,,,186
Blake J.,3,6.0,6.0,,,,56
Karlovic I.,3,7.0,7.0,,,,287
Nieminen J.,3,7.0,3.0,7.0,,,436
Gulbis E.,3,7.0,6.0,,,,234
Karlovic I.,3,6.0,6.0,6.0,,,287
Fish M.,3,6.0,6.0,,,,186
Gulbis E.,3,6.0,6.0,,,,234
Karlovic I.,3,6.0,6.0,,,,287
Gulbis E.,3,6.0,6.0,,,,234
Melzer J.,3,6.0,7.0,,,,396
Koubek S.,3,7.0,6.0,,,,314
Troicki V.,3,6.0,6.0,,,,594
Baghdatis M.,3,7.0,6.0,,,,25
Ljubicic I.,3,6.0,6.0,6.0,,,355
Djokovic N.,3,6.0,6.0,,,,147
Murray A.,3,6.0,6.0,,,,425
Berrer M.,3,6.0,7.0,,,,52
Cilic M.,3,6.0,6.0,,,,97
Devvarman S.,3,6.0,7.0,,,,142
Tipsarevic J.,3,7.0,7.0,,,,589
Davydenko N.,3,6.0,6.0,6.0,,,119
Phau B.,3,3.0,,,,,468
Robredo T.,3,6.0,6.0,,,,499
Tsonga J.W.,3,7.0,,,,,598
Youzhny M.,3,6.0,7.0,6.0,,,648
Berrer M.,3,6.0,,,,,52
Melzer J.,3,6.0,7.0,,,,396
Cilic M.,3,6.0,7.0,,,,97
Djokovic N.,3,3.0,6.0,6.0,,,147
Baghdatis M.,3,6.0,3.0,6.0,,,25
Youzhny M.,3,7.0,6.0,,,,648
Tipsarevic J.,3,7.0,4.0,6.0,,,589
Ljubicic I.,3,7.0,6.0,,,,355
Melzer J.,3,7.0,7.0,,,,396
Youzhny M.,3,6.0,6.0,,,,648
Djokovic N.,3,2.0,6.0,6.0,,,147
Baghdatis M.,3,7.0,6.0,,,,25
Youzhny M.,3,7.0,7.0,,,,648
Djokovic N.,3,6.0,6.0,6.0,,,147
Djokovic N.,3,7.0,5.0,6.0,,,147
Fognini F.,3,6.0,1.0,7.0,,,187
Serra F.,3,6.0,6.0,,,,541
Garcia-Lopez G.,3,4.0,6.0,7.0,,,198
Chardy J.,3,6.0,4.0,,,,93
Moya C.,3,7.0,7.0,,,,419
Cuevas P.,3,6.0,7.0,,,,111
Delgado R.,3,6.0,6.0,6.0,,,134
Ancic M.,3,4.0,6.0,6.0,,,11
Petzschner P.,3,6.0,7.0,,,,466
Anderson K.,3,6.0,6.0,,,,12
Dabul B.,3,7.0,6.0,,,,112
Koellerer D.,3,6.0,6.0,,,,304
Fish M.,3,1.0,6.0,6.0,,,186
Schuettler R.,3,7.0,6.0,,,,533
Harrison R.,3,6.0,6.0,,,,247
Gulbis E.,3,3.0,6.0,6.0,,,234
Sela D.,3,6.0,6.0,,,,537
Lu Y.H.,3,6.0,6.0,,,,363
Matosevic M.,3,6.0,6.0,,,,385
Greul S.,3,7.0,7.0,,,,228
Almagro N.,3,6.0,6.0,,,,6
Blake J.,3,6.0,6.0,,,,56
De Bakker T.,3,6.0,6.0,,,,121
Nalbandian D.,3,6.0,7.0,,,,430
Mello R.,3,2.0,6.0,6.0,,,394
Stakhovsky S.,3,6.0,6.0,,,,568
Mathieu P.H.,3,6.0,6.0,,,,384
Korolev E.,3,6.0,6.0,,,,312
Seppi A.,3,2.0,7.0,6.0,,,538
Clement A.,3,4.0,6.0,6.0,,,100
Hanescu V.,3,6.0,7.0,,,,242
Russell M.,3,6.0,7.0,,,,515
Dabul B.,3,7.0,6.0,,,,112
Verdasco F.,3,6.0,6.0,,,,619
Troicki V.,3,1.0,,,,,594
Davydenko N.,3,6.0,6.0,,,,119
Ancic M.,3,4.0,7.0,6.0,,,11
Ljubicic I.,3,6.0,7.0,,,,355
Berdych T.,3,7.0,4.0,6.0,,,49
Garcia-Lopez G.,3,7.0,6.0,,,,198
Nadal R.,3,6.0,6.0,,,,427
Ferrero J.C.,3,6.0,6.0,,,,183
Monaco J.,3,6.0,7.0,,,,410
Isner J.,3,6.0,7.0,,,,265
Bellucci T.,3,,,,,,44
Kohlschreiber P.,3,6.0,6.0,,,,306
Querrey S.,3,6.0,6.0,,,,479
Djokovic N.,3,6.0,0.0,6.0,,,147
Tsonga J.W.,3,6.0,6.0,,,,598
Baghdatis M.,3,7.0,6.0,,,,25
De Bakker T.,3,3.0,,,,,121
Almagro N.,3,7.0,7.0,,,,6
Murray A.,3,6.0,6.0,,,,425
Greul S.,3,1.0,6.0,6.0,,,228
Lopez F.,3,3.0,6.0,6.0,,,358
Soderling R.,3,6.0,6.0,,,,558
Robredo T.,3,3.0,6.0,7.0,,,499
Melzer J.,3,6.0,6.0,,,,396
Sela D.,3,6.0,1.0,6.0,,,537
Russell M.,3,4.0,6.0,6.0,,,515
Federer R.,3,6.0,6.0,6.0,,,180
Blake J.,3,6.0,6.0,,,,56
Montanes A.,3,3.0,6.0,6.0,,,412
Roddick A.,3,6.0,6.0,,,,503
Troicki V.,3,,,,,,594
Monaco J.,3,7.0,3.0,6.0,,,410
Djokovic N.,3,6.0,2.0,7.0,,,147
Nadal R.,3,6.0,6.0,,,,427
Garcia-Lopez G.,3,4.0,6.0,6.0,,,198
Ljubicic I.,3,6.0,6.0,,,,355
Berdych T.,3,6.0,6.0,,,,49
Isner J.,3,7.0,6.0,,,,265
Murray A.,3,6.0,7.0,,,,425
Soderling R.,3,7.0,6.0,,,,558
Melzer J.,3,,,,,,396
Tsonga J.W.,3,4.0,6.0,6.0,,,598
Robredo T.,3,6.0,6.0,,,,499
Roddick A.,3,6.0,6.0,,,,503
Almagro N.,3,6.0,3.0,6.0,,,6
Baghdatis M.,3,5.0,7.0,7.0,,,25
Monaco J.,3,3.0,6.0,6.0,,,410
Ljubicic I.,3,7.0,6.0,,,,355
Nadal R.,3,7.0,3.0,6.0,,,427
Berdych T.,3,6.0,6.0,,,,49
Soderling R.,3,6.0,6.0,,,,558
Robredo T.,3,7.0,0.0,6.0,,,499
Roddick A.,3,7.0,6.0,,,,503
Murray A.,3,6.0,1.0,,,,425
Ljubicic I.,3,4.0,6.0,6.0,,,355
Nadal R.,3,6.0,7.0,,,,427
Soderling R.,3,6.0,7.0,,,,558
Roddick A.,3,6.0,7.0,,,,503
Ljubicic I.,3,3.0,6.0,7.0,,,355
Roddick A.,3,6.0,3.0,6.0,,,503
Ljubicic I.,3,7.0,7.0,,,,355
Koellerer D.,3,4.0,6.0,6.0,,,304
Stakhovsky S.,3,6.0,5.0,7.0,,,568
Garcia-Lopez G.,3,7.0,6.0,,,,198
Schwank E.,3,4.0,,,,,535
Andreev I.,3,6.0,6.0,,,,14
Llodra M.,3,6.0,6.0,,,,356
Mayer F.,3,7.0,1.0,6.0,,,386
Gimeno-Traver D.,3,6.0,6.0,,,,208
Rochus O.,3,7.0,1.0,6.0,,,502
Chardy J.,3,6.0,6.0,,,,93
Becker B.,3,6.0,6.0,,,,42
Dent T.,3,6.0,6.0,,,,140
Marchenko I.,3,6.0,7.0,,,,374
Nalbandian D.,3,6.0,6.0,,,,430
Russell M.,3,7.0,6.0,,,,515
Blake J.,3,6.0,6.0,6.0,,,56
Luczak P.,3,6.0,7.0,,,,364
Falla A.,3,7.0,3.0,6.0,,,178
Berrer M.,3,7.0,4.0,6.0,,,52
Zeballos H.,3,7.0,6.0,,,,651
Anderson K.,3,6.0,6.0,,,,12
Sela D.,3,6.0,6.0,,,,537
Lu Y.H.,3,6.0,6.0,6.0,,,363
Chela J.I.,3,6.0,3.0,7.0,,,94
Robert S.,3,7.0,6.0,,,,498
Lapentti N.,3,7.0,6.0,,,,344
Serra F.,3,6.0,6.0,,,,541
De Bakker T.,3,6.0,7.0,,,,121
Petzschner P.,3,6.0,6.0,,,,466
Ilhan M.,3,6.0,6.0,,,,263
Giraldo S.,3,6.0,6.0,,,,210
Fish M.,3,7.0,6.0,,,,186
Karlovic I.,3,6.0,6.0,6.0,,,287
Almagro N.,3,6.0,7.0,,,,6
Ferrer D.,3,6.0,6.0,,,,182
Rochus O.,3,6.0,6.0,6.0,,,502
Ferrero J.C.,3,4.0,,,,,183
Kohlschreiber P.,3,6.0,,,,,306
Chardy J.,3,4.0,6.0,6.0,,,93
Bellucci T.,3,3.0,6.0,6.0,,,44
Robredo T.,3,6.0,4.0,6.0,,,499
Nadal R.,3,6.0,6.0,,,,427
Nalbandian D.,3,6.0,4.0,6.0,,,430
Stakhovsky S.,3,6.0,7.0,,,,568
Isner J.,3,7.0,2.0,7.0,,,265
Becker B.,3,4.0,0.0,,,,42
Tsonga J.W.,3,6.0,6.0,,,,598
Roddick A.,3,6.0,6.0,,,,503
Petzschner P.,3,6.0,6.0,,,,466
Verdasco F.,3,6.0,6.0,,,,619
Youzhny M.,3,6.0,6.0,,,,648
Serra F.,3,6.0,3.0,6.0,,,541
Wawrinka S.,3,6.0,7.0,,,,632
Baghdatis M.,3,6.0,6.0,,,,25
Lopez F.,3,7.0,7.0,,,,358
Soderling R.,3,7.0,6.0,,,,558
Melzer J.,3,6.0,6.0,,,,396
Fish M.,3,6.0,6.0,,,,186
Monaco J.,3,6.0,7.0,,,,410
Gonzalez F.,3,6.0,6.0,,,,220
Cilic M.,3,6.0,6.0,,,,97
Zeballos H.,3,6.0,6.0,,,,651
Berdych T.,3,6.0,6.0,,,,49
Federer R.,3,6.0,6.0,,,,180
Almagro N.,3,6.0,6.0,6.0,,,6
Nadal R.,3,6.0,6.0,6.0,,,427
Bellucci T.,3,6.0,6.0,,,,44
Ferrer D.,3,7.0,6.0,,,,182
Becker B.,3,1.0,6.0,7.0,,,42
Ferrero J.C.,3,6.0,3.0,6.0,,,183
Roddick A.,3,6.0,6.0,,,,503
Tsonga J.W.,3,6.0,7.0,,,,598
Fish M.,3,7.0,6.0,,,,186
Federer R.,3,7.0,7.0,,,,180
Youzhny M.,3,1.0,7.0,7.0,,,648
Berdych T.,3,6.0,7.0,,,,49
Cilic M.,3,6.0,6.0,,,,97
Soderling R.,3,6.0,6.0,,,,558
Verdasco F.,3,3.0,7.0,6.0,,,619
Gonzalez F.,3,6.0,6.0,6.0,,,220
Tsonga J.W.,3,6.0,6.0,,,,598
Almagro N.,3,6.0,3.0,7.0,,,6
Youzhny M.,3,6.0,1.0,,,,648
Roddick A.,3,7.0,6.0,,,,503
Soderling R.,3,6.0,6.0,6.0,,,558
Nadal R.,3,7.0,6.0,,,,427
Verdasco F.,3,6.0,7.0,,,,619
Berdych T.,3,6.0,6.0,7.0,,,49
Roddick A.,3,6.0,6.0,,,,503
Nadal R.,3,6.0,6.0,,,,427
Berdych T.,3,4.0,7.0,6.0,,,49
Soderling R.,3,6.0,6.0,,,,558
Roddick A.,3,4.0,6.0,6.0,,,503
Berdych T.,3,6.0,6.0,,,,49
Roddick A.,3,7.0,6.0,,,,503
Starace P.,3,6.0,7.0,,,,569
Hernandez O.,3,7.0,6.0,,,,252
Granollers M.,3,7.0,7.0,,,,224
Nieminen J.,3,6.0,6.0,,,,436
Serra F.,3,6.0,6.0,,,,541
El Amrani R.,3,7.0,4.0,7.0,,,164
Hajek J.,3,7.0,6.0,,,,240
Robert S.,3,6.0,5.0,7.0,,,498
Golubev A.,3,6.0,7.0,,,,215
Clement A.,3,6.0,6.0,,,,100
Gasquet R.,3,6.0,6.0,,,,200
Klizan M.,3,4.0,6.0,7.0,,,302
Starace P.,3,6.0,6.0,,,,569
Garcia-Lopez G.,3,6.0,6.0,,,,198
Serra F.,3,2.0,6.0,6.0,,,541
Kubot L.,3,6.0,6.0,,,,324
Hanescu V.,3,2.0,6.0,6.0,,,242
Wawrinka S.,3,6.0,0.0,6.0,,,632
El Amrani R.,3,6.0,2.0,6.0,,,164
Gasquet R.,3,6.0,6.0,,,,200
Starace P.,3,6.0,6.0,,,,569
Wawrinka S.,3,6.0,6.0,,,,632
Serra F.,3,6.0,6.0,,,,541
Hanescu V.,3,7.0,4.0,6.0,,,242
Wawrinka S.,3,6.0,3.0,6.0,,,632
Hanescu V.,3,6.0,6.0,,,,242
Wawrinka S.,3,6.0,6.0,,,,632
Kavcic B.,3,6.0,4.0,6.0,,,288
Odesnik W.,3,6.0,6.0,,,,444
Sela D.,3,6.0,7.0,,,,537
Schwank E.,3,6.0,6.0,,,,535
Massu N.,3,6.0,6.0,,,,382
Chela J.I.,3,6.0,3.0,,,,94
Sweeting R.,3,6.0,4.0,6.0,,,581
Zeballos H.,3,6.0,,,,,651
Anderson K.,3,7.0,6.0,,,,12
Kukushkin M.,3,6.0,7.0,,,,328
Malisse X.,3,6.0,7.0,,,,371
Devvarman S.,3,6.0,6.0,,,,142
Chela J.I.,3,6.0,6.0,6.0,,,94
Massu N.,3,6.0,7.0,6.0,,,382
Zeballos H.,3,6.0,6.0,,,,651
Odesnik W.,3,6.0,7.0,,,,444
Hewitt L.,3,1.0,6.0,7.0,,,254
Querrey S.,3,6.0,6.0,,,,479
Malisse X.,3,7.0,6.0,7.0,,,371
Gonzalez F.,3,6.0,4.0,6.0,,,220
Querrey S.,3,6.0,3.0,6.0,,,479
Chela J.I.,3,6.0,6.0,,,,94
Odesnik W.,3,6.0,6.0,,,,444
Zeballos H.,3,6.0,6.0,,,,651
Querrey S.,3,7.0,1.0,7.0,,,479
Chela J.I.,3,7.0,6.0,,,,94
Chela J.I.,3,5.0,6.0,6.0,,,94
Andreev I.,3,6.0,6.0,,,,14
Seppi A.,3,7.0,,,,,538
Berrer M.,3,6.0,6.0,,,,52
Almagro N.,3,3.0,7.0,6.0,,,6
Golubev A.,3,6.0,7.0,,,,215
Nalbandian D.,3,6.0,6.0,,,,430
Gulbis E.,3,6.0,6.0,,,,234
Berdych T.,3,6.0,6.0,,,,49
Petzschner P.,3,6.0,2.0,6.0,,,466
Benneteau J.,3,6.0,5.0,6.0,,,47
Kohlschreiber P.,3,2.0,6.0,7.0,,,306
Gasquet R.,3,6.0,4.0,6.0,,,200
Becker B.,3,6.0,6.0,,,,42
Ferrer D.,3,6.0,6.0,,,,182
Ferrero J.C.,3,6.0,6.0,,,,183
Monaco J.,3,7.0,7.0,,,,410
Melzer J.,3,6.0,6.0,,,,396
Serra F.,3,7.0,3.0,6.0,,,541
De Bakker T.,3,6.0,7.0,,,,121
